MOLECULE,Source,SMILES,meanComplexity,stdevComplexity,Votes,DESCRIPTORCOMPLEXITY_APCOMPLEX,DESCRIPTORCOMPLEXITY_TTCOMPLEX,DESCRIPTORCOMPLEXITY_UNIQUEAP,DESCRIPTORCOMPLEXITY_UNIQUETT,MOE_2D_APOL,MOE_2D_A_ACC,MOE_2D_A_ACID,MOE_2D_A_ARO,MOE_2D_A_BASE,MOE_2D_A_COUNT,MOE_2D_A_DON,MOE_2D_A_HEAVY,MOE_2D_A_HYD,MOE_2D_A_IC,MOE_2D_A_ICM,MOE_2D_A_NB,MOE_2D_A_NBR,MOE_2D_A_NC,MOE_2D_A_NCL,MOE_2D_A_NF,MOE_2D_A_NH,MOE_2D_A_NI,MOE_2D_A_NN,MOE_2D_A_NO,MOE_2D_A_NP,MOE_2D_A_NS,MOE_2D_BALABANJ,MOE_2D_BCUT_PEOE_0,MOE_2D_BCUT_PEOE_1,MOE_2D_BCUT_PEOE_2,MOE_2D_BCUT_PEOE_3,MOE_2D_BCUT_SLOGP_0,MOE_2D_BCUT_SLOGP_1,MOE_2D_BCUT_SLOGP_2,MOE_2D_BCUT_SLOGP_3,MOE_2D_BCUT_SMR_0,MOE_2D_BCUT_SMR_1,MOE_2D_BCUT_SMR_2,MOE_2D_BCUT_SMR_3,MOE_2D_BPOL,MOE_2D_B_1ROTN,MOE_2D_B_1ROTR,MOE_2D_B_AR,MOE_2D_B_COUNT,MOE_2D_B_DOUBLE,MOE_2D_B_HEAVY,MOE_2D_B_ROTN,MOE_2D_B_ROTR,MOE_2D_B_SINGLE,MOE_2D_B_TRIPLE,MOE_2D_CHI0,MOE_2D_CHI0V,MOE_2D_CHI0V_C,MOE_2D_CHI0_C,MOE_2D_CHI1,MOE_2D_CHI1V,MOE_2D_CHI1V_C,MOE_2D_CHI1_C,MOE_2D_CHIRAL,MOE_2D_CHIRAL_U,MOE_2D_DENSITY,MOE_2D_DIAMETER,MOE_2D_FCHARGE,MOE_2D_GCUT_PEOE_0,MOE_2D_GCUT_PEOE_1,MOE_2D_GCUT_PEOE_2,MOE_2D_GCUT_PEOE_3,MOE_2D_GCUT_SLOGP_0,MOE_2D_GCUT_SLOGP_1,MOE_2D_GCUT_SLOGP_2,MOE_2D_GCUT_SLOGP_3,MOE_2D_GCUT_SMR_0,MOE_2D_GCUT_SMR_1,MOE_2D_GCUT_SMR_2,MOE_2D_GCUT_SMR_3,MOE_2D_KIER1,MOE_2D_KIER2,MOE_2D_KIER3,MOE_2D_KIERA1,MOE_2D_KIERA2,MOE_2D_KIERA3,MOE_2D_KIERFLEX,MOE_2D_LIP_ACC,MOE_2D_LIP_DON,MOE_2D_LIP_DRUGLIKE,MOE_2D_LIP_VIOLATION,MOE_2D_LOGP(O/W),MOE_2D_LOGS,MOE_2D_MR,MOE_2D_MUTAGENIC,MOE_2D_NMOL,MOE_2D_OPR_BRIGID,MOE_2D_OPR_LEADLIKE,MOE_2D_OPR_NRING,MOE_2D_OPR_NROT,MOE_2D_OPR_VIOLATION,MOE_2D_PC+,MOE_2D_PC-,MOE_2D_PEOE_PC+,MOE_2D_PEOE_PC-,MOE_2D_PEOE_RPC+,MOE_2D_PEOE_RPC-,MOE_2D_PEOE_VSA+0,MOE_2D_PEOE_VSA+1,MOE_2D_PEOE_VSA+2,MOE_2D_PEOE_VSA+3,MOE_2D_PEOE_VSA+4,MOE_2D_PEOE_VSA+5,MOE_2D_PEOE_VSA+6,MOE_2D_PEOE_VSA-0,MOE_2D_PEOE_VSA-1,MOE_2D_PEOE_VSA-2,MOE_2D_PEOE_VSA-3,MOE_2D_PEOE_VSA-4,MOE_2D_PEOE_VSA-5,MOE_2D_PEOE_VSA-6,MOE_2D_PEOE_VSA_FHYD,MOE_2D_PEOE_VSA_FNEG,MOE_2D_PEOE_VSA_FPNEG,MOE_2D_PEOE_VSA_FPOL,MOE_2D_PEOE_VSA_FPOS,MOE_2D_PEOE_VSA_FPPOS,MOE_2D_PEOE_VSA_HYD,MOE_2D_PEOE_VSA_NEG,MOE_2D_PEOE_VSA_PNEG,MOE_2D_PEOE_VSA_POL,MOE_2D_PEOE_VSA_POS,MOE_2D_PEOE_VSA_PPOS,MOE_2D_PETITJEAN,MOE_2D_PETITJEANSC,MOE_2D_Q_PC+,MOE_2D_Q_PC-,MOE_2D_Q_RPC+,MOE_2D_Q_RPC-,MOE_2D_Q_VSA_FHYD,MOE_2D_Q_VSA_FNEG,MOE_2D_Q_VSA_FPNEG,MOE_2D_Q_VSA_FPOL,MOE_2D_Q_VSA_FPOS,MOE_2D_Q_VSA_FPPOS,MOE_2D_Q_VSA_HYD,MOE_2D_Q_VSA_NEG,MOE_2D_Q_VSA_PNEG,MOE_2D_Q_VSA_POL,MOE_2D_Q_VSA_POS,MOE_2D_Q_VSA_PPOS,MOE_2D_RADIUS,MOE_2D_REACTIVE,MOE_2D_RINGS,MOE_2D_RPC+,MOE_2D_RPC-,MOE_2D_RSYNTH,MOE_2D_SLOGP,MOE_2D_SLOGP_VSA0,MOE_2D_SLOGP_VSA1,MOE_2D_SLOGP_VSA2,MOE_2D_SLOGP_VSA3,MOE_2D_SLOGP_VSA4,MOE_2D_SLOGP_VSA5,MOE_2D_SLOGP_VSA6,MOE_2D_SLOGP_VSA7,MOE_2D_SLOGP_VSA8,MOE_2D_SLOGP_VSA9,MOE_2D_SMR,MOE_2D_SMR_VSA0,MOE_2D_SMR_VSA1,MOE_2D_SMR_VSA2,MOE_2D_SMR_VSA3,MOE_2D_SMR_VSA4,MOE_2D_SMR_VSA5,MOE_2D_SMR_VSA6,MOE_2D_SMR_VSA7,MOE_2D_TPSA,MOE_2D_VADJEQ,MOE_2D_VADJMA,MOE_2D_VDISTEQ,MOE_2D_VDISTMA,MOE_2D_VDW_AREA,MOE_2D_VDW_VOL,MOE_2D_VSA_ACC,MOE_2D_VSA_ACID,MOE_2D_VSA_BASE,MOE_2D_VSA_DON,MOE_2D_VSA_HYD,MOE_2D_VSA_OTHER,MOE_2D_VSA_POL,MOE_2D_WEIGHT,MOE_2D_WEINERPATH,MOE_2D_WEINERPOL,MOE_2D_ZAGREB,SP3CARBONS_CAR_ALLATOM_RATIO,SP3CARBONS_CAR_ALLCARBON_RATIO,SP3CARBONS_CAR_COUNT,SP3CARBONS_CHIRAL_ALLATOM_RATIO,SP3CARBONS_CHIRAL_ALLCARBON_RATIO,SP3CARBONS_CHIRAL_COUNT,SP3CARBONS_CSP2_ALLATOM_RATIO,SP3CARBONS_CSP2_ALLCARBON_RATIO,SP3CARBONS_CSP2_COUNT,SP3CARBONS_CSP3_ALLATOM_RATIO,SP3CARBONS_CSP3_ALLCARBON_RATIO,SP3CARBONS_CSP3_COUNT,SP3CARBONS_CSP_ALLATOM_RATIO,SP3CARBONS_CSP_ALLCARBON_RATIO,SP3CARBONS_CSP_COUNT,SP3CARBONS_TOTALATOM_COUNT,SP3CARBONS_TOTALCARBON_COUNT
605,ChEMBL,CN(C)CCCN1c2ccccc2CCc2ccccc12,1.938461538,0.990367812,65,0.28,0.46,58,19,52.309826,0,0,12,1,46,0,21,19,55.276821,1.2016701,0,0,19,0,0,25,0,2,0,0,0,1.7113639,-2.6898041,-0.5308997,0.59508729,2.6496472,-3.4719467,-0.42864066,0.67875248,2.6112351,-2.4802046,-0.4029097,0.72311258,2.8779962,30.630175,4,0.17391305,12,48,0,23,4,0.17391305,36,0,14.656489,13.10155,12.154336,13.501789,10.25402,7.9788022,5.8618073,7.6161566,0,0,0.70018274,9,1,-0.88844562,-0.33970883,0.061062127,2.7947605,-2.2595031,-0.22366323,0.14241828,2.8691978,-0.63067162,-0.18537492,0.15868592,3.062911,15.879017,7.5130072,3.8548484,12.159148,5.6702189,2.8770401,3.2830968,2,1,1,0,4.1040001,-3.43032,8.8894053,0,1,17,1,3,4,0,0,0,1.3652171,-0.36521709,0.26793516,0.6347636,108.25007,36.108002,0,0,0,20.299505,67.79892,67.651054,0,0,0,0,0,0,0.70644385,0.22542271,0,0.29355618,0.77457732,0.29355618,212.00912,67.651054,0,88.098427,232.4565,88.098427,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,300.10754,0,0,0,300.10754,0,5,0,3,0,0,1,2.45784,6.2486277,0,0,36.879158,6.37115,103.53119,0,141.14548,18.868406,5.513495,8.9592695,3.1243138,0,3.1243138,6.37115,5.513495,197.75069,36.879158,65.794373,7.6799998,0.48250595,5.523562,3.0281317,8.515563,300.10754,365.93732,0,0,0,0,300.10754,0,0,281.423,882,35,108,0.571,0.632,12,0,0,0,0,0,0,0.333,0.368,7,0,0,0,21,19
1279,ChEMBL,CC(C)NC[C@@H](O)COc1ccc(CC(=O)N)cc1,1.65,0.792148976,40,0.67,0.62,114,15,44.582237,3,0,6,1,42,2,19,13,62.377552,1.4851798,0,0,14,0,0,23,0,2,3,0,0,2.0923667,-2.6807055,-0.53909612,0.53561521,2.6848195,-3.4161985,-0.55441725,0.50568974,2.4868371,-2.4917071,-0.38299751,0.68074751,2.8634822,27.357761,8,0.42105263,6,42,1,19,8,0.42105263,35,0,14.250712,11.503833,9.0854216,9.8364992,8.9692345,6.4850502,4.499671,5.4206867,1,1,0.79671854,13,1,-0.86843711,-0.35106814,0.09761139,2.5501847,-2.2477145,-0.36216658,0.07144174,2.4958913,-0.63565528,-0.21632753,0.166869,2.7435789,17.052631,9.03125,8,13.794971,7.213623,6.3266873,5.2374587,5,5,1,0,0.73199999,-1.94328,7.5134592,0,1,6,1,1,8,0,0,0,1.9317554,-0.93175536,0.20203418,0.35141072,31.616989,67.275421,21.49107,22.058474,0,28.107601,20.299505,33.825527,0,17.742489,0,13.566921,13.566921,2.503756,0.71312863,0.29849005,0.10893986,0.2868714,0.70150995,0.17793155,194.00996,81.20562,29.637598,78.044708,190.84906,48.407108,0.46153846,0.85714287,0,0,0,0,1,0,0,0,1,0,272.05469,0,0,0,272.05469,0,7,0,1,0,0,1,-0.57413,87.293053,5.2587838,34.312836,39.365837,3.185575,18.868406,0,70.572739,0,71.895454,7.27706,23.862217,54.395866,0,18.879622,32.897186,89.441139,44.624619,66.652031,89.160004,0.48546076,5.2479277,3.5080242,8.1378775,272.05469,306.46332,16.070677,0,5.6825762,23.425066,206.04248,12.949531,53.062664,267.349,890,21,86,0.316,0.429,6,0,0,0,0.053,0.071,1,0.368,0.5,7,0,0,0,19,14
1785,ChEMBL,C[C@@H](CCc1ccccc1)NC[C@@H](O)c1ccc(O)c(c1)C(=O)N,2.055555556,0.664347819,36,0.56,0.77,155,30,54.715824,3,0,12,1,49,3,24,18,71.558868,1.4603851,0,0,19,0,0,25,0,2,3,0,0,1.6518635,-2.6996512,-0.57214808,0.69729185,2.6954443,-3.4072454,-0.554928,0.6781621,2.5975707,-2.5018311,-0.48543295,0.77555096,2.8909431,27.628176,8,0.31999999,12,50,1,25,8,0.31999999,37,0,17.526733,13.852199,11.394823,12.819627,11.469234,8.150979,6.434793,8.251585,2,2,0.78503233,14,1,-0.86758268,-0.35787836,0.13900682,2.7213254,-2.2477052,-0.31157798,0.14526667,2.7103117,-0.63579684,-0.22653787,0.19305076,2.9279878,20.313601,10.222222,6.6824455,15.457772,7.679389,4.9738679,4.9460936,5,6,1,1,2.5639999,-3.14697,9.5316448,0,1,12,1,2,8,1,0,0,1.7979373,-0.79793727,0.21811947,0.33030722,65.44252,47.425484,14.141095,0,0,28.107601,20.299505,81.251015,0,17.742489,13.566921,13.566921,13.566921,0,0.76027155,0.4433184,0.086108983,0.23972847,0.55668163,0.15361948,239.56952,139.69426,27.133842,75.540947,175.4162,48.407108,0.5,1,0,0,0,0,1,0,0,0,1,0,315.11047,0,0,0,315.11047,0,7,0,2,0,0,1,1.20467,101.67839,5.2587838,3.9819686,18.439579,33.418941,18.868406,0,141.14548,25.337055,38.569443,9.2712898,23.862217,68.781204,0,25.250771,32.897186,178.88228,23.698362,33.326015,100.16,0.42571631,5.643856,3.6489365,8.8359604,315.11047,387.52542,13.566921,0,5.6825762,23.425066,238.03511,12.949531,64.125832,329.41998,1607,33,116,0.5,0.632,12,0,0,0,0.042,0.053,1,0.25,0.316,6,0,0,0,24,19
2095,ChEMBL,Nc1ccc(cc1)S(=O)(=O)Nc1nccs1,1.432432432,0.547255587,37,0.54,0.61,65,17,31.878344,1,3,11,0,24,1,16,9,48.754887,2.0314536,0,0,9,0,0,8,0,3,2,0,2,1.8591998,-2.3252301,-0.67095,0.76269144,2.3157139,-2.3361363,-0.54067254,0.87219608,2.4333372,-1.9341165,-0.49323061,0.96603346,2.7207723,19.481655,3,0.17647059,11,25,0,17,3,0.17647059,14,0,11.596012,9.7018652,4.9641018,5.9746914,7.5773168,6.6283622,2.1547005,3.1329932,0,0,0.96778667,9,-1,-0.99705833,-0.47168288,0.10239688,2.1701276,-1.3342834,-0.30650577,0.20641094,2.3214192,-0.4064973,-0.19952138,0.27514237,2.5165558,12.456747,5.1041665,3.25,11.253571,4.5779366,2.8991473,3.2198834,5,2,1,0,0.96399999,-2.26336,6.3965769,1,1,11,1,2,2,0,0,0,0.76423657,-1.7642366,0.38048106,0.31941822,31.616989,6.6995511,51.377605,0,0,4.1846013,0,10.105608,17.784555,51.208622,8.0752068,0,32.016521,5.6825762,0.80853325,0.57084364,0.17233729,0.19146673,0.42915639,0.019129446,176.86813,124.87309,37.6991,41.883701,93.878746,4.1846013,0.44444445,0.80000001,0,0,0,0,1,0,0,0,1,0,218.75185,0,0,0,218.75185,0,5,0,2,0,0,1,2.1194,32.897186,64.957214,6.6407428,0,0,1.5507339,0,120.0081,0,34.535183,6.3173199,48.171688,16.78553,17.955732,0,3.257494,136.50029,0,37.91843,73.050003,0.56510133,5.0874629,2.9261055,7.6877379,218.75185,254.44658,45.774307,40.091728,0,17.742489,131.96281,23.272232,63.516796,254.314,448,20,82,0.562,1,9,0,0,0,0,0,0,0,0,0,0,0,0,16,9
2132,ChEMBL,CCC[C@@H](C)C1(CC=C)C(=O)NC(=S)NC1=O,2.305555556,0.699977954,36,0.65,0.61,89,20,39.826275,3,0,0,0,35,2,17,9,57.446705,1.6413344,0,0,12,0,0,18,0,2,2,0,1,2.9531031,-2.7225342,-0.47007114,0.48053986,2.7562082,-2.816139,-0.44606289,0.54134321,2.7807221,-2.4837351,-0.22830237,0.70600647,2.9938388,24.053726,5,0.29411766,0,35,4,17,5,0.29411766,31,0,13.052042,11.024369,7.9831276,8.6378279,7.9844351,6.172051,4.1514306,4.619391,1,1,0.83836305,8,0,-0.82581586,-0.37839618,0.088690586,2.691483,-1.1836823,-0.32325822,0.092198968,2.7003582,-0.53237009,-0.18216541,0.19885556,2.9312572,15.058824,6.25,2.8797061,12.5056,5.1255856,2.338105,3.7705011,4,2,1,0,1.778,-4.8052502,7.0457325,0,1,6,1,1,5,0,0,0,0.97944963,-0.97944963,0.26970768,0.2753295,108.45092,0,44.551136,0,0,25.899061,0,45.216946,0,0,0,11.365152,27.133842,0,0.75478345,0.31877571,0.14659746,0.24521658,0.68122429,0.098619118,198.21901,83.715935,38.498993,64.398056,178.90112,25.899061,0.5,1,0,0,0,0,1,0,0,0,1,0,262.61707,0,0,0,262.61707,0,4,0,1,0,0,1,1.516,36.0215,10.802089,47.724434,0,4.4107962,0,0,17.643185,56.605217,143.94485,7.02034,47.724434,0,40.432297,0,0,74.248398,10.802089,143.94485,90.290001,0.52255934,5.0874629,2.6705234,7.924077,262.61707,281.75143,58.518353,0,0,11.365152,153.66786,39.065685,69.883507,254.354,472,30,82,0,0,0,0,0,0,0.294,0.417,5,0.412,0.583,7,0,0,0,17,12
2261,ChEMBL,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,2.43902439,0.766645544,41,0.42,0.62,105,31,52.262653,0,0,12,3,44,1,23,18,64.917679,1.4754018,0,0,18,1,0,21,0,4,0,0,0,1.543957,-2.7425702,-0.543414,0.697914,2.7700486,-3.5071199,-0.58036137,0.72328323,2.4702306,-2.5557618,-0.44533843,0.81803662,2.9491448,27.997347,0,0,12,47,1,26,1,0.03846154,34,0,15.811191,13.950986,10.869879,12.242276,11.20351,8.4455004,4.8153839,6.4494896,0,0,0.8030715,10,2,-0.8766486,-0.35610864,0.10742379,2.8412857,-2.2598233,-0.29756048,0.15575005,2.77106,-0.62993968,-0.1926771,0.18698372,3.061583,16.467455,7.0869246,3.52,12.901339,5.486237,2.7003298,3.0773826,4,3,1,0,3.552,-4.0507102,9.3221798,0,1,23,1,4,3,0,0,0,2.5995376,-0.59953773,0.14073597,0.35833681,94.850967,35.935883,0,0,6.6995511,40.59901,85.689034,5.6825762,29.581947,0,5.6825762,0,0,0,0.56357664,0.13437547,0,0.43642336,0.86562455,0.43642336,171.73395,40.947098,0,132.98759,263.77444,132.98759,0.5,1,0,0,0,0,1,0,0,0,1,0,304.72156,0,0,0,304.72156,0,5,0,4,0,0,1,0.38620001,19.909843,23.462984,0,73.758316,3.185575,32.897186,3.5006065,123.50229,0,47.418888,9.4102097,19.909843,3.1243138,0,6.6861815,26.280993,123.50229,76.086235,72.04583,33.68,0.46357921,5.7004399,3.0642488,8.7875357,304.72156,383.12778,0,0,5.6825762,11.365152,282.16583,11.190562,11.365152,328.84698,1082,41,126,0.522,0.667,12,0,0,0,0.043,0.056,1,0.217,0.278,5,0,0,0,23,18
2353,ZINC_NaturalProducts,O1c2cc3CC[n+]4c(c3cc2OC1)cc1c(c4)c(OC)c(OC)cc1,2.75,0.915150261,40,0.4,0.56,121,36,51.510273,4,0,16,1,43,0,25,19,63.832172,1.4844692,0,0,20,0,0,18,0,1,4,0,0,1.3355161,-2.4503663,-0.56317753,0.47241071,2.5528312,-2.5946302,-0.51037699,0.58866292,2.589565,-2.2570915,-0.3247751,0.73444921,2.7664964,29.321726,2,0.068965517,17,47,0,29,2,0.068965517,30,0,16.965891,14.165628,12.085422,13.560114,12.279519,8.2933397,5.2849631,7.0824828,0,0,0.80324948,12,1,-0.78260279,-0.40166068,-0.030025307,2.7540131,-1.426775,-0.35973203,0.1013576,2.8524401,-0.55383223,-0.1976143,0.12717749,3.0014696,17.122473,6.8664141,2.8359375,13.024308,5.1590695,2.111155,2.6877325,5,0,1,0,4.0457401,-4.50915,9.3647861,0,1,25,1,5,2,1,0,0,2.4211524,-1.4211522,0.1350182,0.22918981,65.44252,20.225574,49.64257,71.316856,6.6995511,20.299505,48.60796,2.2085397,0,0,0,0,5.0075121,5.0075121,0.70922166,0.041512065,0.034011714,0.29077834,0.95848793,0.25676665,208.83606,12.223564,10.015024,85.62204,282.23453,75.607018,0.5,1,0,0,0,0,1,0,0,0,1,0,294.4581,0,0,0,294.4581,0,6,0,5,0,0,1,3.3626699,45.898643,0,0,22.984112,3.185575,89.636139,0,116.51853,0,39.413292,9.2714996,1.8990928,43.99955,0,24.159286,11.088251,142.73827,22.984112,70.767738,40.799999,0.44574744,5.8579812,3.3014505,8.994668,294.4581,396.16956,10.015024,0,0,0,256.13461,28.308455,10.015024,336.367,1405,47,144,0.6,0.75,15,0,0,0,0,0,0,0.2,0.25,5,0,0,0,25,20
2543,ZINC_NaturalProducts,O1C(c2c(c3c1cc(CCCCC)cc3O)cc(cc2)C)(C)C,2.111111111,0.874889764,36,0.47,0.61,119,30,55.90062,2,0,12,0,49,1,23,21,58.670685,1.1973609,0,0,21,0,0,26,0,0,2,0,0,1.7250161,-2.6330998,-0.47388077,0.51915789,2.5790775,-2.4860849,-0.34741464,0.66141999,2.7355595,-2.3798738,-0.2834346,0.71248382,2.8445175,30.339382,4,0.16,12,51,0,25,4,0.16,39,0,16.61252,14.570641,13.715178,14.905413,10.919852,8.5852499,7.9533944,9.5806999,0,0,0.72724438,12,0,-0.79846889,-0.36156783,-0.035998531,2.7684371,-0.76265061,-0.23327909,0.08919999,2.9434502,-0.53110534,-0.1740939,0.14134079,3.0469384,17.811199,7.0869246,3.6651394,14.331991,5.6424789,2.8947468,3.5159984,2,1,1,1,6.7049999,-7.2852302,9.4244328,0,1,16,1,3,4,1,0,0,0.57224369,-0.57224369,0.23135801,0.57857007,219.11038,8.458519,8.458519,0,0,0,0,51.842564,0,0,13.566921,0,0,2.503756,0.99176234,0.22344244,0.008237648,0.008237648,0.77655756,0,301.43692,67.913239,2.503756,2.503756,236.02742,0,0.5,1,0,0,0,0,1,0,0,0,1,0,303.94067,0,0,0,303.94067,0,6,0,3,0,0,1,6.03929,36.385113,0,0,0,9.5567245,18.868406,0,94.587074,56.605217,143.79091,9.5279799,0,36.385113,0,20.043581,6.37115,163.68954,0,133.30406,29.459999,0.45137304,5.643856,3.2541862,8.7517214,303.94067,390.83011,2.503756,0,0,0,287.87,0,16.070677,310.43698,1150,40,124,0.522,0.571,12,0,0,0,0,0,0,0.391,0.429,9,0,0,0,23,21
2832,ZINC_NaturalProducts,O(c1c2c(CC[C@@H](NC)c3c2ccc(OC)c(=O)c3)cc(OC)c1OC)C,2.864864865,1.043957185,37,0.4,0.53,140,32,59.406616,5,0,6,1,53,0,27,20,77.520042,1.4626423,0,0,21,0,0,26,0,1,5,0,0,1.9597456,-2.6294076,-0.52743548,0.34027991,2.6634803,-3.3908482,-0.44394681,0.40218866,2.6446931,-2.4296339,-0.26476887,0.58522761,2.8925228,37.045383,5,0.1724138,6,55,4,29,5,0.1724138,45,0,19.551678,16.419558,13.800965,15.016144,13.086779,8.9301586,5.3658609,6.932653,1,1,0.79554099,11,1,-0.86932695,-0.40940928,-0.048598789,2.9116418,-2.2476413,-0.33268979,0.047969032,2.9703431,-0.6362341,-0.1957577,0.083245978,3.1635704,21.702734,9.6668653,4.1599998,17.419827,7.6894674,3.2869265,4.961081,6,2,1,0,2.5644801,-3.74101,10.334962,0,1,18,1,3,5,0,0,0,2.6019957,-1.6019958,0.16885799,0.20328379,83.459549,18.017035,39.516655,142.63371,8.458519,0,40.59901,2.2085397,0,0,0,0,13.566921,10.015024,0.79736525,0.071945012,0.065784074,0.20263472,0.92805499,0.13685064,285.83551,25.790485,23.581945,72.639481,332.68448,49.057533,0.45454547,0.83333331,0,0,0,0,1,0,0,0,1,0,358.47498,0,0,0,358.47498,0,6,1,3,0,0,0.11111111,1.64317,51.010414,5.6876111,38.844074,0,6.37115,201.73007,0,73.758316,18.868406,15.730285,10.22154,34.862103,51.010414,0,34.512405,3.185575,108.30955,5.6876111,174.43266,70.599998,0.40063059,5.8579812,3.119071,9.2747402,358.47498,435.21704,23.581945,0,5.6825762,5.6825762,320.75192,8.458519,29.264521,372.44098,1590,57,140,0.222,0.286,6,0,0,0,0.259,0.333,7,0.296,0.381,8,0,0,0,27,21
4056,ZINC_NaturalProducts,O=C1C(C\C=C(\CC\C=C(\CC\C=C(\CC\C=C(\C)C)C)C)C)=C(C(=O)c2c1cccc2)C,2.263157895,0.84865871,38,0.37,0.39,195,21,82.835716,2,0,6,0,73,0,33,29,83.399986,1.1424655,0,0,31,0,0,40,0,0,2,0,0,1.5786754,-2.5738945,-0.32671842,0.035686675,2.5118752,-2.401252,-0.022916945,0.24227864,2.6842053,-2.2947896,-0.042728961,0.24315616,2.7971563,45.644279,11,0.32352942,6,74,7,34,11,0.32352942,61,0,24.380104,21.385046,20.56855,22.380104,15.701285,12.187506,11.779258,14.546584,0,0,0.69651371,21,0,-0.7901265,-0.34248239,-0.12431332,2.7479436,-0.78881359,-0.1852898,0.007545057,2.8836753,-0.51260322,-0.13832031,0.037512492,3.0145204,29.231834,15.186172,9.876543,22.547546,11.612493,7.5047779,7.9343395,2,0,1,1,5.2360001,-9.9033298,14.008326,0,1,15,0,2,11,2,0,0,0.89733112,-0.89733112,0.21377681,0.31974572,343.36981,15.808495,0,16.917038,0,0,0,72.068138,0,0,0,0,27.133842,0,0.94291186,0.20871563,0.057088144,0.057088144,0.79128438,0,448.16348,99.201981,27.133842,27.133842,376.09534,0,0.47619048,0.90909094,0,0,0,0,1,0,0,0,1,0,475.2973,0,0,0,475.2973,0,11,1,2,0,0,0,8.9179001,0,11.375222,0,0,54.095581,19.113449,0,141.14548,132.07884,199.95609,14.0824,47.724434,0,0,25.4846,0,273.2243,11.375222,199.95609,34.139999,0.33706582,6.0874629,4.189765,9.7345037,475.2973,580.51837,27.133842,0,0,0,431.24643,16.917038,27.133842,444.659,4278,48,158,0.182,0.194,6,0,0,0,0.364,0.387,12,0.394,0.419,13,0,0,0,33,31
4475,ZINC_NaturalProducts,Brc1cc(C(OC[C@@H]2C[C@@]3(OC)[C@@H]([N@@](C2)C)Cc2c4c3cccc4n(c2)C)=O)cnc1,3.615384615,0.737820234,39,0.58,0.77,268,59,68.999413,3,0,15,1,58,0,31,24,91.832062,1.5833114,0,1,24,0,0,27,0,3,3,0,0,1.2931176,-2.8490758,-0.54624557,0.60845888,2.8787501,-3.5074739,-0.42498118,0.68077374,2.7952042,-2.6480381,-0.32643819,0.75564831,3.0776696,40.216591,4,0.11428571,16,62,1,35,5,0.14285715,45,0,21.750347,19.607712,15.02458,16.474327,14.924689,11.445089,6.5661678,8.1632166,3,3,0.8891111,14,1,-0.87981308,-0.37180838,0.040941887,3.1434851,-2.259948,-0.27324396,0.14269997,3.1320953,-0.63065815,-0.1847572,0.15854284,3.3647666,22.775511,8.9818439,3.9669421,19.457504,7.6311088,3.3567877,4.7897525,6,1,1,0,4.3779998,-4.1776199,12.382911,0,1,25,0,5,4,2,0,0,2.6299882,-1.6299883,0.13898012,0.21207157,69.859596,31.459805,92.515511,57.716904,0,41.707558,33.89946,59.433342,0,0,0,5.6825762,16.070677,2.503756,0.75693262,0.20370091,0.059041154,0.24306735,0.7962991,0.18402621,310.98517,83.690353,24.25701,99.864029,327.15884,75.607018,0.5,1,0,0,0,0,1,0,0,0,1,0,410.84918,0,0,0,410.84918,0,7,0,5,0,0,0.38709676,3.16447,3.1243138,26.430086,25.981745,39.365837,37.829739,90.204567,0,126.93291,18.868406,78.85128,12.15762,48.986305,18.684622,7.4659004,13.538693,4.7171016,159.95262,47.111301,147.13234,57.790001,0.37643659,6.129283,3.575803,9.6141195,410.84918,515.33038,21.753254,0,0,0,371.88367,17.212255,21.753254,485.40198,2625,60,176,0.419,0.542,13,0,0,0,0.032,0.042,1,0.323,0.417,10,0,0,0,31,24
